Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
VXX,438534,2902,21.71,1257,21.70,21.70,423796,14738
UVXY,309358,100,16.79,800,16.78,16.78,304205,5153
FOCT,165647,400,35.09,300,34.98,35.10,165647,0
ARKG,155995,50,76.01,1050,75.96,75.99,155970,25
EFV,145498,1400,52.32,2200,52.31,52.33,136782,8716
RSX,122404,3300,32.26,2125,32.25,32.26,121304,1100
IEFA,110197,4500,76.88,1000,76.87,76.88,109997,200
GOVT,89051,170300,26.38,157900,26.37,26.37,89033,18
INDA,88735,700,49.19,1170,49.18,49.21,87844,891
EZU,87511,5000,50.45,1800,50.43,50.46,80811,6700
ITB,75442,500,71.57,103,71.55,71.60,75153,289
MTUM,65523,375,190.52,64,190.50,190.51,65521,2
JPST,62076,40397,50.59,30811,50.58,50.58,62076,0
ACWV,59724,1000,105.88,100,105.75,105.81,59724,0
PAVE,58482,1000,27.64,1709,27.61,27.63,57998,484
USMV,54362,200,77.53,200,77.52,77.51,49962,4400
ARKQ,46817,250,86.20,1200,86.16,86.23,46816,1
USHY,42022,11011,41.11,4065,41.10,41.11,42012,10
VIXY,38890,700,17.74,400,17.73,17.72,35667,3223
RYLD,36960,1100,25.35,500,25.32,25.33,36231,729
FBCG,35256,1300,35.03,444,35.00,35.05,35256,0
HYD,34156,300,61.84,5,61.82,61.84,34156,0
MOAT,32727,600,76.23,600,76.20,76.20,32727,0
VLUE,31388,100,103.76,200,103.74,103.79,30888,500
IGV,30248,100,437.72,100,437.60,437.78,30248,0
FLOT,29199,7108,50.77,1500,50.76,50.76,27461,1738
PICK,27827,800,42.55,300,42.41,42.42,27827,0
ARKX,22500,500,20.32,2500,20.31,20.32,22178,322
VUSB,22248,1400,50.02,3888,50.01,50.02,22248,0
EFAV,19652,1200,76.96,150,76.94,76.94,19652,0
PNOV,19039,400,30.57,58,30.52,30.53,19039,0
ESGV,18491,200,85.72,5,85.70,85.73,18491,0
IDV,17680,100,31.38,600,31.37,31.39,17680,0
SVXY,16288,300,61.14,101,61.12,61.15,15988,300
QUAL,15385,300,141.69,150,141.67,141.69,15085,300
EFG,15103,200,111.33,100,111.31,111.36,14601,502
NOBL,14562,1000,94.14,200,94.11,94.18,14262,300
BBUS,14229,200,84.08,30,84.03,84.11,14229,0
NEAR,13904,2515,50.03,23799,50.02,50.03,13904,0
VNM,13133,110,20.35,350,20.24,20.32,13133,0
TAIL,10951,263,18.02,1000,18.00,18.02,10951,0
ECH,10438,400,24.76,1200,24.69,24.72,10436,2
UNOV,10099,400,29.33,300,29.27,29.30,10099,0
IGE,9569,2700,32.18,839,32.16,32.19,9569,0
IZRL,9432,300,31.12,300,31.00,31.06,9432,0
FDRV,9391,1000,28.33,1,28.30,28.35,9191,200
DIVB,9240,600,41.38,404,41.36,41.38,9240,0
BBJP,9157,1000,57.96,500,57.93,57.99,8857,300
NURE,9022,1000,37.80,500,37.71,38.00,9022,0
REM,8760,100,37.75,200,37.73,37.74,8736,24
ICSH,8591,12875,50.46,6400,50.45,50.46,8591,0
BBIN,8214,200,60.94,8000,60.90,60.96,8214,0
CBOE,7817,42,132.95,100,132.67,132.76,7817,0
SHYD,7619,100,24.94,100,24.88,24.89,6519,1100
VSGX,7560,1000,63.72,200,63.64,63.69,7560,0
BBCA,7526,1000,68.17,1000,68.12,68.25,7288,238
ICVT,7463,100,102.84,900,102.79,102.87,7463,0
BBEU,7453,600,60.16,800,60.13,60.21,7433,20
SLVP,7292,900,13.91,500,13.84,13.89,7292,0
PRNT,6338,700,37.96,800,37.86,37.95,6088,250
HEFA,6213,5900,35.61,200,35.60,35.61,6213,0
SMIN,6014,1100,60.86,900,60.75,60.75,6014,0
NUSC,5895,200,45.70,400,45.59,45.67,5895,0
IEO,5845,100,64.72,1000,64.65,64.75,5845,0
ITM,5671,500,50.89,1400,50.85,50.88,5671,0
CNYA,5660,1100,43.34,960,43.32,43.32,5660,0
IFRA,5305,800,36.23,300,36.17,36.25,5305,0
ITA,5295,200,104.47,200,104.35,104.47,5295,0
EEMV,5281,400,63.30,300,63.12,63.16,5281,0
MFMS,5235,800,40.26,800,39.95,40.00,5235,0
IAGG,5118,1200,54.77,1200,54.75,54.75,5018,100
PAWZ,4948,8,84.10,400,84.00,84.07,4948,0
TMFC,4885,1200,43.02,300,42.94,42.99,4885,0
ICF,4307,200,69.84,1100,69.77,69.88,4307,0
BBAX,4286,1000,56.88,1000,56.83,56.88,3798,488
DRSK,4003,100,29.38,100,29.31,29.38,4003,0
BNOV,3660,1300,32.26,50,32.20,32.22,3660,0
FRNW,3525,1100,29.31,1000,29.19,29.30,3391,134
QSPT,3501,5400,20.60,5000,20.50,20.60,3501,0
CEMB,3467,700,51.30,700,51.28,51.28,3467,0
FCLD,3453,1000,26.90,7,26.85,26.85,3453,0
VIXM,3219,2700,30.51,3100,30.44,30.46,3219,0
JMST,3191,12228,51.04,1867,51.03,51.02,3191,0
DINT,3174,1800,20.87,500,20.75,20.76,3174,0
VOTE,3163,900,54.45,500,54.39,54.51,3163,0
XMPT,3144,300,29.07,300,29.03,29.03,3144,0
OMFL,3058,200,49.24,100,49.20,49.25,3058,0
FPFD,3012,1100,25.19,710,25.16,25.19,2812,200
BBRE,2948,500,102.95,300,102.87,103.31,2448,500
JEMA,2874,1000,48.50,189,48.40,48.35,2874,0
FDHT,2738,1000,26.66,1,26.58,26.68,2738,0
FCPI,2679,1578,32.65,14,32.60,32.66,2679,0
ESML,2607,600,41.21,83,41.10,41.15,2607,0
CEFS,2536,300,21.58,300,21.46,21.57,2536,0
EMGF,2443,1500,51.64,600,51.53,51.69,2443,0
IYT,2385,300,270.29,200,270.01,270.39,2385,0
XVV,2360,1500,35.43,1100,35.36,35.46,2360,0
GSEW,2329,100,70.94,100,70.90,71.11,2329,0
FLHY,2312,2100,26.23,25,26.21,26.24,2245,67
CALF,2303,900,43.62,700,43.57,43.78,2303,0
JCPB,2267,1400,54.36,300,54.35,54.36,2267,0
OILK,2257,300,57.52,300,57.37,57.37,2257,0
IGEB,2249,19,53.54,600,53.39,53.53,2249,0
IYZ,2144,300,32.05,400,32.03,32.03,2144,0
EMHY,2097,600,43.42,325,43.41,43.41,2097,0
WFHY,1976,188,52.30,600,52.29,52.30,1976,0
FYLD,1765,300,27.82,600,27.66,27.66,1765,0
FCTR,1757,2800,35.72,100,35.65,35.75,1757,0
OGIG,1709,700,56.52,400,56.44,56.45,1709,0
HEEM,1665,100,31.10,100,30.81,30.90,1665,0
HYDB,1636,720,51.45,100,51.36,51.50,1636,0
BFEB,1600,100,31.66,3200,31.57,31.62,1600,0
IBHC,1533,236,24.57,200,24.51,24.59,1433,100
VCEB,1528,600,73.54,100,73.51,73.50,1528,0
QVAL,1524,1,36.24,300,36.19,36.26,1524,0
FGRO,1448,1000,22.13,1000,22.12,22.16,1448,0
MLN,1442,600,21.40,210,21.36,21.37,1442,0
USMF,1441,1500,40.68,3400,40.62,40.75,1441,0
IGHG,1430,100,75.39,100,75.22,75.42,1430,0
IMOM,1420,300,35.39,300,35.27,35.47,1420,0
GHYG,1391,100,49.53,141,49.44,49.45,1387,4
IETC,1390,500,59.64,500,59.57,59.68,1390,0
OUSA,1381,300,43.93,480,43.90,43.91,1381,0
DUDE,1348,500,29.03,2100,28.95,29.02,1348,0
REGL,1334,500,71.07,600,70.99,71.00,1334,0
NULG,1271,500,71.95,100,71.85,72.10,1271,0
BALT,1200,500,25.85,100,25.82,25.84,1200,0
PTLC,1174,300,40.35,200,40.33,40.48,1174,0
